country_id;province_id;name;latitude;longitude;level
eebc798a-1a4b-4c70-9b03-e5fd501658a8;Metal blue;Tajikistan composite;Falls Identity;Robust Lakes;6141
a94d6d8d-1997-4e5b-b0d5-b41d1630325d;Representative;Account Louisiana;Architect Investment Territory;invoice;3672
4e798d62-e465-4be2-8e50-f7948f184662;contingency cultivate;Creative;Centralized disintermediate;Central Frozen Unbranded;82650
cc471f3e-519e-4ab4-bb65-490fce2cef91;Movies Mall initiatives;experiences;Berkshire;Operations deposit;86103
6dd501b1-2b5a-4a27-9efd-db413b9667a3;indigo Manager;Expanded hack;calculate maroon;Mouse;49250
abaf59b3-62fc-441d-ac55-4cfb4248493c;Tasty;Frozen deliverables;Implemented ADP Fresh;generating utilize;84275
7cb87738-f233-4cbf-be59-3109d7367f70;Metal bandwidth-monitored;Shirt;Cambridgeshire capacity generate;silver up;48264
da5842a4-9e5d-4eb1-b6ba-78e5392fef0d;Oklahoma ADP;compressing Enhanced;Buckinghamshire Rest;Colorado Lanka convergence;25373
47c00e08-d915-4aad-86b5-8302deed2959;withdrawal;digital Account Tasty;Ergonomic index;implementation Beauty;29413
7d891553-ea28-4a2e-a2c9-6d5ef12a4d79;Orchestrator up Fresh;Vista Chair Loan;Global Granite;Card Argentine;81705
